goos: darwin
goarch: arm64
pkg: erl
cpu: Apple M4 Pro
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2101372	       172.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2064388	       173.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2089018	       172.9 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2077359	       173.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=erl-14      	 2085032	       172.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2273941	       159.4 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2182891	       163.3 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2229452	       167.1 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2137238	       166.8 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2077920	       171.3 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2206105	       162.6 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2260413	       159.2 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2242935	       160.1 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2177667	       163.4 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=erl-14         	 2238757	       161.9 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2262477	       158.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2300218	       156.9 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2258164	       158.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2311503	       156.0 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2324650	       155.1 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2316974	       156.4 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2124067	       166.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2150604	       170.5 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2197160	       161.1 ns/op	     320 B/op	       1 allocs/op
